dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,none,1,100,adam,0.01,100,0.2791999876499176,2.463780164718628,0.30335554480552673,2.332446336746216
none,1,undersample,1,50,adam,0.01,125,0.2809999883174896,2.4641857147216797,0.2961111068725586,2.358567476272583
none,1,oversample,1,100,adam,0.001,200,0.2802000045776367,2.467688798904419,0.28593334555625916,2.401662826538086
none,1,none,1,100,adam,0.001,200,0.274399995803833,2.4687538146972656,0.287422239780426,2.400536060333252
none,1,oversample,1,100,adam,0.01,80,0.2759999930858612,2.469775438308716,0.29322221875190735,2.3725719451904297
none,1,undersample,1,100,adam,0.01,80,0.2759999930858612,2.4702274799346924,0.2928444445133209,2.3737645149230957
none,1,none,1,50,adam,0.01,100,0.2789999842643738,2.470287799835205,0.2930222153663635,2.376534938812256
none,1,oversample,1,50,adam,0.01,125,0.2777999937534332,2.470566511154175,0.30044445395469666,2.344283103942871
none,1,none,1,100,adam,0.01,80,0.28139999508857727,2.471324920654297,0.29304444789886475,2.3699207305908203
none,1,undersample,1,50,adam,0.01,100,0.2759999930858612,2.4719252586364746,0.2933555543422699,2.3775441646575928
none,1,oversample,1,100,adam,0.01,100,0.2751999795436859,2.473536491394043,0.307533323764801,2.3094639778137207
none,1,undersample,1,50,adam,0.01,80,0.27719998359680176,2.4736337661743164,0.28708890080451965,2.3981504440307617
none,1,oversample,1,50,adam,0.01,80,0.2757999897003174,2.4739208221435547,0.29031112790107727,2.3966972827911377
none,1,oversample,1,50,adam,0.01,100,0.2741999924182892,2.4752397537231445,0.291311115026474,2.381661891937256
none,1,undersample,1,100,adam,0.01,100,0.2759999930858612,2.4765172004699707,0.3060666620731354,2.3158986568450928
none,1,none,1,50,adam,0.01,80,0.27300000190734863,2.4773871898651123,0.2845333218574524,2.415508508682251
none,1,undersample,1,100,adam,0.001,200,0.2735999822616577,2.4790828227996826,0.28484445810317993,2.4136343002319336
none,1,none,1,50,adam,0.01,125,0.27140000462532043,2.4815938472747803,0.2931777834892273,2.368098020553589
none,1,oversample,0,10,adam,0.01,200,0.27559998631477356,2.4817702770233154,0.28504446148872375,2.3843941688537598
none,1,none,0,50,adam,0.01,200,0.274399995803833,2.4822349548339844,0.28488889336586,2.3847405910491943
none,1,oversample,0,100,adam,0.01,200,0.2750000059604645,2.482574462890625,0.28433334827423096,2.3843159675598145
none,1,undersample,0,50,adam,0.01,200,0.2735999822616577,2.48268461227417,0.28502222895622253,2.3849263191223145
none,1,undersample,0,10,adam,0.01,200,0.274399995803833,2.482684850692749,0.2847111225128174,2.385348081588745
none,1,undersample,0,100,adam,0.01,200,0.27539998292922974,2.482753038406372,0.2847333252429962,2.3850317001342773
none,1,oversample,0,50,adam,0.01,200,0.2750000059604645,2.4827866554260254,0.28457778692245483,2.385585069656372
none,1,none,0,100,adam,0.01,200,0.27480000257492065,2.4830636978149414,0.2845555543899536,2.3854384422302246
none,1,none,0,10,adam,0.01,200,0.27459999918937683,2.483114719390869,0.2842888832092285,2.3862926959991455
none,1,oversample,1,50,adam,0.01,150,0.27059999108314514,2.4832911491394043,0.3066222369670868,2.3233065605163574
none,1,undersample,1,50,adam,0.01,150,0.27799999713897705,2.483640193939209,0.30524444580078125,2.3244268894195557
none,1,oversample,0,10,adam,0.01,175,0.27559998631477356,2.484309673309326,0.2831111252307892,2.3937714099884033
none,1,undersample,0,10,adam,0.01,175,0.2751999795436859,2.4843363761901855,0.28333333134651184,2.393704414367676
none,1,undersample,2,50,adam,0.01,125,0.27379998564720154,2.484349250793457,0.2943333387374878,2.370145559310913
none,1,none,1,100,adam,0.01,125,0.2786000072956085,2.4844303131103516,0.3185555636882782,2.2705583572387695
none,1,none,0,10,adam,0.01,175,0.2759999930858612,2.4845070838928223,0.28308889269828796,2.3940367698669434
none,1,none,0,100,adam,0.01,175,0.2766000032424927,2.4845168590545654,0.28317779302597046,2.3939552307128906
none,1,none,0,50,adam,0.01,175,0.2750000059604645,2.4850614070892334,0.28315556049346924,2.394606828689575
none,1,undersample,0,50,adam,0.01,175,0.27459999918937683,2.4853930473327637,0.28282222151756287,2.394709587097168
none,1,undersample,0,100,adam,0.01,175,0.27559998631477356,2.4855196475982666,0.2830444574356079,2.3943450450897217
none,1,oversample,0,50,adam,0.01,175,0.27379998564720154,2.4855730533599854,0.2829555571079254,2.394700288772583
none,1,oversample,0,100,adam,0.01,175,0.274399995803833,2.485790729522705,0.28253334760665894,2.3949341773986816
none,1,none,1,50,adam,0.01,175,0.2775999903678894,2.486283540725708,0.3111777901649475,2.300100326538086
none,1,oversample,2,50,adam,0.01,150,0.27239999175071716,2.487556219100952,0.3010888993740082,2.3541595935821533
none,1,none,1,100,adam,0.001,175,0.2687999904155731,2.487671375274658,0.28193333745002747,2.4317409992218018
none,1,none,0,10,adam,0.01,150,0.272599995136261,2.4882113933563232,0.28048887848854065,2.4049742221832275
none,1,undersample,0,10,adam,0.01,150,0.27140000462532043,2.48831844329834,0.28048887848854065,2.404414653778076
none,1,oversample,2,50,adam,0.01,125,0.27639999985694885,2.4883387088775635,0.29526665806770325,2.3696281909942627
none,1,undersample,0,50,adam,0.01,150,0.2727999985218048,2.488452672958374,0.2805555462837219,2.404761791229248
none,1,undersample,0,100,adam,0.01,150,0.2703999876976013,2.488734245300293,0.2799333333969116,2.40569806098938
none,1,oversample,0,50,adam,0.01,150,0.272599995136261,2.488734722137451,0.28077778220176697,2.4046080112457275
none,1,oversample,0,100,adam,0.01,150,0.27160000801086426,2.4887542724609375,0.2802000045776367,2.404634475708008
none,1,oversample,0,10,adam,0.01,150,0.27059999108314514,2.4887993335723877,0.28051111102104187,2.4051499366760254
none,1,none,0,100,adam,0.01,150,0.27140000462532043,2.4890267848968506,0.28022223711013794,2.4059391021728516
none,1,oversample,2,100,adam,0.001,200,0.27399998903274536,2.4892637729644775,0.28797778487205505,2.4113972187042236
none,1,none,2,100,adam,0.001,200,0.2750000059604645,2.4892830848693848,0.2853333353996277,2.414137125015259
none,1,none,0,50,adam,0.01,150,0.27160000801086426,2.489419937133789,0.28066667914390564,2.405651807785034
none,1,none,1,50,adam,0.01,150,0.27079999446868896,2.4896180629730225,0.30471110343933105,2.3231287002563477
none,1,oversample,2,50,adam,0.01,175,0.27639999985694885,2.4906907081604004,0.3075999915599823,2.3114540576934814
none,1,none,2,50,adam,0.01,150,0.272599995136261,2.4909539222717285,0.30095556378364563,2.352283239364624
none,1,undersample,0,100,adam,0.1,80,0.2727999985218048,2.4911048412323,0.29411110281944275,2.346506357192993
none,1,undersample,0,50,adam,0.1,80,0.27379998564720154,2.491147994995117,0.2944444417953491,2.3465068340301514
none,1,oversample,0,100,adam,0.1,80,0.2733999788761139,2.4918642044067383,0.29395556449890137,2.3464853763580322
none,1,oversample,0,50,adam,0.1,80,0.272599995136261,2.491914749145508,0.29420000314712524,2.3461391925811768
none,1,none,0,10,adam,0.1,80,0.2727999985218048,2.4920575618743896,0.29386666417121887,2.346522092819214
none,1,oversample,0,10,adam,0.1,80,0.27379998564720154,2.4922189712524414,0.29375556111335754,2.346510410308838
none,1,undersample,0,10,adam,0.1,80,0.27300000190734863,2.492389678955078,0.2939777672290802,2.346693515777588
none,1,none,0,50,adam,0.1,80,0.27379998564720154,2.492518901824951,0.2933333218097687,2.3463809490203857
none,1,none,0,100,adam,0.1,80,0.27239999175071716,2.4925506114959717,0.29386666417121887,2.346872091293335
none,1,undersample,2,100,adam,0.01,100,0.27239999175071716,2.4936046600341797,0.29633334279060364,2.3812594413757324
none,1,undersample,0,50,adam,0.1,100,0.2735999822616577,2.4936625957489014,0.29553332924842834,2.3418054580688477
none,1,oversample,1,100,adam,0.001,175,0.26999998092651367,2.4941039085388184,0.2782000005245209,2.4423153400421143
none,1,none,0,10,adam,0.01,125,0.26819998025894165,2.4941232204437256,0.27708888053894043,2.418938636779785
none,1,undersample,0,10,adam,0.1,100,0.27399998903274536,2.494220018386841,0.29553332924842834,2.341526985168457
none,1,none,0,10,adam,0.1,100,0.27320000529289246,2.4944264888763428,0.29573333263397217,2.3414299488067627
none,1,oversample,0,50,adam,0.1,100,0.27399998903274536,2.4945695400238037,0.29528889060020447,2.3417115211486816
none,1,none,0,100,adam,0.1,100,0.27379998564720154,2.494866132736206,0.29500001668930054,2.341486930847168
none,1,oversample,0,10,adam,0.1,100,0.2733999788761139,2.4949681758880615,0.2952222228050232,2.3415110111236572
none,1,none,0,50,adam,0.1,100,0.2735999822616577,2.4950640201568604,0.29493334889411926,2.341777801513672
none,1,undersample,0,100,adam,0.01,125,0.26659998297691345,2.4951388835906982,0.2760222256183624,2.4199471473693848
none,1,undersample,0,100,adam,0.1,100,0.27459999918937683,2.495144844055176,0.295422226190567,2.341254234313965
none,1,oversample,0,100,adam,0.1,100,0.27320000529289246,2.4951581954956055,0.2955111265182495,2.3415181636810303
none,1,oversample,0,100,adam,0.01,125,0.26600000262260437,2.495276689529419,0.2764444351196289,2.4198451042175293
none,1,none,0,50,adam,0.01,125,0.26659998297691345,2.495373249053955,0.27631109952926636,2.4196736812591553
none,1,undersample,1,100,adam,0.001,175,0.26659998297691345,2.4955461025238037,0.27657777070999146,2.444938898086548
none,1,undersample,2,50,adam,0.01,200,0.2759999930858612,2.4955646991729736,0.3037777841091156,2.3273582458496094
none,1,oversample,0,50,adam,0.01,125,0.2669999897480011,2.4957094192504883,0.2759111225605011,2.4206719398498535
none,1,oversample,1,100,adam,0.01,125,0.27879998087882996,2.4957168102264404,0.31795555353164673,2.2661614418029785
none,1,none,2,100,adam,0.01,100,0.27320000529289246,2.4957656860351562,0.2887111008167267,2.3987979888916016
none,1,oversample,0,10,adam,0.01,125,0.2662000060081482,2.4957754611968994,0.27624446153640747,2.420290470123291
none,1,none,2,100,adam,0.01,125,0.27239999175071716,2.49591064453125,0.3111777901649475,2.312514305114746
none,1,undersample,0,10,adam,0.01,125,0.2662000060081482,2.4960482120513916,0.2763555645942688,2.4211554527282715
none,1,none,0,100,adam,0.01,125,0.2667999863624573,2.4960575103759766,0.2762666642665863,2.4208192825317383
none,1,oversample,1,50,adam,0.01,200,0.2757999897003174,2.4960830211639404,0.3160000145435333,2.2827725410461426
none,1,undersample,0,50,adam,0.01,125,0.26639997959136963,2.4964842796325684,0.2752666771411896,2.4208462238311768
none,1,none,1,50,adam,0.01,200,0.27639999985694885,2.496861696243286,0.3150888979434967,2.278850555419922
none,1,none,1,10,adam,0.01,175,0.2733999788761139,2.4969279766082764,0.28486666083335876,2.4095304012298584
none,1,undersample,1,100,adam,0.01,125,0.2719999849796295,2.4972915649414062,0.3231111168861389,2.2561535835266113
none,1,undersample,0,50,adam,0.1,125,0.2766000032424927,2.4974586963653564,0.2967333495616913,2.3380932807922363
none,1,undersample,2,100,adam,0.001,200,0.26759999990463257,2.4975428581237793,0.2849111258983612,2.4218175411224365
none,1,none,2,50,adam,0.01,175,0.2750000059604645,2.4976375102996826,0.3048666715621948,2.33020281791687
none,1,undersample,2,50,adam,0.01,100,0.27320000529289246,2.4976463317871094,0.2889111042022705,2.4000368118286133
none,1,none,0,10,adam,0.1,125,0.27639999985694885,2.497673511505127,0.2963111102581024,2.3383023738861084
none,1,undersample,0,10,adam,0.1,125,0.2759999930858612,2.4977383613586426,0.29666668176651,2.338200092315674
none,1,oversample,2,100,adam,0.01,100,0.27320000529289246,2.4978439807891846,0.30835556983947754,2.3307840824127197
none,1,oversample,0,10,adam,0.1,125,0.27719998359680176,2.4979045391082764,0.2962888777256012,2.3381688594818115
none,1,undersample,0,100,adam,0.1,125,0.2759999930858612,2.4980528354644775,0.2962888777256012,2.3382833003997803
none,1,oversample,0,100,adam,0.1,125,0.2766000032424927,2.498106002807617,0.2963111102581024,2.3380489349365234
none,1,none,0,50,adam,0.1,125,0.27699998021125793,2.4981319904327393,0.29642221331596375,2.3382408618927
none,1,none,0,100,adam,0.1,125,0.2757999897003174,2.4981513023376465,0.29617777466773987,2.3382513523101807
none,1,oversample,0,50,adam,0.1,125,0.2757999897003174,2.4983980655670166,0.2963777780532837,2.3382363319396973
none,1,oversample,1,50,adam,0.01,175,0.2750000059604645,2.499316453933716,0.3065333366394043,2.3117191791534424
none,1,none,2,100,adam,0.01,80,0.2703999876976013,2.4996440410614014,0.2876666784286499,2.4039206504821777
none,1,none,2,100,adam,0.001,175,0.2694000005722046,2.4999587535858154,0.2766222357749939,2.4499332904815674
none,1,undersample,2,50,adam,0.01,175,0.27219998836517334,2.499997854232788,0.3079777956008911,2.316391944885254
none,1,oversample,0,50,adam,0.1,150,0.2773999869823456,2.5004844665527344,0.2975555658340454,2.3363535404205322
none,1,none,0,10,adam,0.1,150,0.27639999985694885,2.500505208969116,0.2976444363594055,2.3362436294555664
none,1,undersample,0,50,adam,0.1,150,0.2768000066280365,2.5005617141723633,0.2974666655063629,2.3363418579101562
none,1,none,0,100,adam,0.1,150,0.27699998021125793,2.5005717277526855,0.29784443974494934,2.33622145652771
none,1,undersample,0,100,adam,0.1,150,0.2768000066280365,2.5005760192871094,0.29768890142440796,2.3363869190216064
none,1,oversample,0,100,adam,0.1,150,0.2766000032424927,2.5005807876586914,0.2977111041545868,2.336317777633667
none,1,none,0,50,adam,0.1,150,0.2766000032424927,2.5006325244903564,0.2974444329738617,2.3363122940063477
none,1,undersample,0,10,adam,0.1,150,0.27639999985694885,2.500908613204956,0.2975333333015442,2.3363230228424072
none,1,oversample,2,100,adam,0.01,125,0.27539998292922974,2.501190662384033,0.30106666684150696,2.3473215103149414
none,1,oversample,0,10,adam,0.1,150,0.27719998359680176,2.5020785331726074,0.29739999771118164,2.3366379737854004
none,1,oversample,0,10,adam,0.1,175,0.2773999869823456,2.502291202545166,0.2979111075401306,2.3353159427642822
none,1,none,0,50,adam,0.1,175,0.27719998359680176,2.5024869441986084,0.29793334007263184,2.335350275039673
none,1,undersample,0,50,adam,0.1,175,0.27719998359680176,2.5025055408477783,0.29822221398353577,2.335334300994873
none,1,undersample,0,100,adam,0.1,175,0.2777999937534332,2.5025265216827393,0.2981555461883545,2.3352553844451904
none,1,none,0,100,adam,0.1,175,0.2777999937534332,2.502608299255371,0.29820001125335693,2.335413932800293
none,1,none,0,10,adam,0.1,175,0.27719998359680176,2.502619981765747,0.2982666790485382,2.335254430770874
none,1,oversample,0,100,adam,0.1,175,0.2773999869823456,2.5026814937591553,0.29828888177871704,2.3352274894714355
none,1,oversample,0,50,adam,0.1,175,0.2775999903678894,2.5027644634246826,0.29804444313049316,2.3353235721588135
none,1,undersample,0,10,adam,0.1,175,0.27799999713897705,2.5027689933776855,0.29820001125335693,2.335329055786133
none,1,undersample,2,100,adam,0.001,175,0.26819998025894165,2.5028867721557617,0.2802000045776367,2.4389374256134033
none,1,undersample,2,50,adam,0.01,150,0.27079999446868896,2.5030105113983154,0.29464444518089294,2.3851091861724854
none,1,oversample,1,10,adam,0.01,200,0.2683999836444855,2.5032529830932617,0.28377777338027954,2.4252867698669434
none,1,none,0,10,adam,0.1,200,0.27699998021125793,2.5041756629943848,0.2984222173690796,2.3347315788269043
none,1,none,0,50,adam,0.1,200,0.2768000066280365,2.5042190551757812,0.2985111176967621,2.334735155105591
none,1,none,0,100,adam,0.1,200,0.2768000066280365,2.504223346710205,0.29840001463890076,2.3347861766815186
none,1,oversample,0,50,adam,0.1,200,0.27699998021125793,2.5042505264282227,0.29864445328712463,2.3348007202148438
none,1,oversample,0,100,adam,0.1,200,0.2782000005245209,2.504258871078491,0.2984222173690796,2.334926128387451
none,1,undersample,0,100,adam,0.1,200,0.27699998021125793,2.5043551921844482,0.2986222207546234,2.334724187850952
none,1,undersample,0,50,adam,0.1,200,0.27699998021125793,2.504368543624878,0.29855555295944214,2.334726572036743
none,1,undersample,0,10,adam,0.1,200,0.27699998021125793,2.504394054412842,0.29846668243408203,2.3347437381744385
none,1,oversample,0,10,adam,0.1,200,0.2777999937534332,2.504401445388794,0.29855555295944214,2.334702730178833
none,1,oversample,2,50,adam,0.01,100,0.2683999836444855,2.504453420639038,0.28182223439216614,2.4267771244049072
none,1,undersample,1,50,adam,0.01,175,0.2757999897003174,2.504650354385376,0.31557777523994446,2.272390842437744
none,1,oversample,0,100,adam,0.01,100,0.26440000534057617,2.5067789554595947,0.2711777687072754,2.438875436782837
none,1,undersample,0,10,adam,0.01,100,0.2635999917984009,2.506974697113037,0.27124443650245667,2.4397363662719727
none,1,undersample,0,50,adam,0.01,100,0.26479998230934143,2.507016658782959,0.2711777687072754,2.4401872158050537
none,1,none,0,100,adam,0.01,100,0.2635999917984009,2.5072245597839355,0.2711111009120941,2.440350294113159
none,1,none,0,50,adam,0.01,100,0.2655999958515167,2.5074522495269775,0.2704888880252838,2.4400856494903564
none,1,oversample,0,50,adam,0.01,100,0.2639999985694885,2.5074641704559326,0.27086666226387024,2.4405858516693115
none,1,none,0,10,adam,0.01,100,0.2629999816417694,2.50771427154541,0.2704666554927826,2.440966844558716
none,1,none,2,50,adam,0.01,100,0.26639997959136963,2.50779390335083,0.289511114358902,2.4013445377349854
none,1,oversample,0,10,adam,0.01,100,0.26319998502731323,2.5080580711364746,0.2705555558204651,2.4411466121673584
none,1,undersample,0,100,adam,0.01,100,0.262800008058548,2.5084149837493896,0.2704888880252838,2.441757917404175
none,1,undersample,1,50,adam,0.001,200,0.2680000066757202,2.50878643989563,0.2751111090183258,2.462463617324829
none,1,none,2,50,adam,0.01,125,0.2712000012397766,2.5092523097991943,0.298244446516037,2.3611559867858887
none,1,undersample,2,10,adam,0.01,200,0.2662000060081482,2.5093185901641846,0.28033334016799927,2.4338226318359375
none,1,undersample,2,100,adam,0.01,80,0.2712000012397766,2.5093348026275635,0.2863111197948456,2.4020309448242188
none,1,none,2,50,adam,0.01,200,0.2741999924182892,2.5125138759613037,0.31353333592414856,2.310032367706299
none,1,oversample,2,50,adam,0.01,200,0.2733999788761139,2.512871265411377,0.3148222267627716,2.2862813472747803
none,1,undersample,2,100,adam,0.01,125,0.2712000012397766,2.513817548751831,0.3115111291408539,2.315201759338379
