dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,undersample,0,50,adam,0.1,200,0.21119999885559082,2.751859426498413,0.20453333854675293,2.736858367919922
none,1,oversample,0,50,adam,0.1,200,0.21119999885559082,2.7518770694732666,0.20453333854675293,2.7368831634521484
none,1,none,0,50,adam,0.1,200,0.21119999885559082,2.751919746398926,0.20453333854675293,2.7369065284729004
none,1,undersample,0,100,adam,0.1,200,0.21119999885559082,2.751939535140991,0.20453333854675293,2.7369391918182373
none,1,oversample,0,100,adam,0.1,200,0.21119999885559082,2.7519400119781494,0.20453333854675293,2.736997604370117
none,1,none,0,100,adam,0.1,200,0.21119999885559082,2.751952886581421,0.20453333854675293,2.736961603164673
none,1,none,0,10,adam,0.1,200,0.21119999885559082,2.751960277557373,0.20453333854675293,2.7369518280029297
none,1,oversample,0,10,adam,0.1,200,0.21119999885559082,2.751986265182495,0.20453333854675293,2.7370009422302246
none,1,undersample,0,10,adam,0.1,200,0.21119999885559082,2.752000331878662,0.20453333854675293,2.737063407897949
none,1,none,0,10,adam,0.1,175,0.21119999885559082,2.752236843109131,0.20453333854675293,2.737295627593994
none,1,undersample,0,10,adam,0.1,175,0.21119999885559082,2.752279758453369,0.20453333854675293,2.7373223304748535
none,1,none,0,50,adam,0.1,175,0.21119999885559082,2.7523155212402344,0.20453333854675293,2.7374370098114014
none,1,none,0,100,adam,0.1,175,0.21119999885559082,2.7523274421691895,0.20453333854675293,2.7373712062835693
none,1,oversample,0,50,adam,0.1,175,0.21119999885559082,2.7523353099823,0.20453333854675293,2.7373859882354736
none,1,oversample,0,100,adam,0.1,175,0.21119999885559082,2.7523558139801025,0.20453333854675293,2.7374191284179688
none,1,undersample,0,100,adam,0.1,175,0.21119999885559082,2.752356767654419,0.20453333854675293,2.737417459487915
none,1,undersample,0,50,adam,0.1,175,0.21119999885559082,2.752357006072998,0.20453333854675293,2.737400770187378
none,1,oversample,0,10,adam,0.1,175,0.21119999885559082,2.752368450164795,0.20453333854675293,2.737417459487915
none,1,oversample,0,50,adam,0.1,150,0.21119999885559082,2.7526094913482666,0.20453333854675293,2.737661123275757
none,1,oversample,0,100,adam,0.001,100,0.21119999885559082,2.7526350021362305,0.20453333854675293,2.74108624458313
none,1,oversample,0,10,adam,0.1,150,0.21119999885559082,2.7526726722717285,0.20453333854675293,2.737806797027588
none,1,undersample,0,100,adam,0.001,100,0.21119999885559082,2.75268816947937,0.20453333854675293,2.74149227142334
none,1,none,0,50,adam,0.1,150,0.21119999885559082,2.7526915073394775,0.20453333854675293,2.737821340560913
none,1,none,0,10,adam,0.1,150,0.21119999885559082,2.7526967525482178,0.20453333854675293,2.737820863723755
none,1,undersample,0,100,adam,0.1,150,0.21119999885559082,2.752714157104492,0.20453333854675293,2.737816333770752
none,1,oversample,0,100,adam,0.1,150,0.21119999885559082,2.7527217864990234,0.20453333854675293,2.7378227710723877
none,1,undersample,0,50,adam,0.1,150,0.21119999885559082,2.75273060798645,0.20453333854675293,2.737894058227539
none,1,undersample,3,10,adam,0.001,200,0.21119999885559082,2.7527308464050293,0.20453333854675293,2.7414071559906006
none,1,none,0,100,adam,0.1,150,0.21119999885559082,2.7527778148651123,0.20453333854675293,2.7378671169281006
none,1,undersample,0,10,adam,0.1,150,0.21119999885559082,2.7528116703033447,0.20453333854675293,2.7379841804504395
none,1,oversample,0,100,adam,0.1,80,0.21119999885559082,2.752819061279297,0.20453333854675293,2.739274024963379
none,1,oversample,0,10,adam,0.001,100,0.21119999885559082,2.7529029846191406,0.20453333854675293,2.741178035736084
none,1,oversample,0,50,adam,0.001,100,0.21119999885559082,2.7529332637786865,0.20453333854675293,2.7418129444122314
none,1,none,0,100,adam,0.001,100,0.21119999885559082,2.7529497146606445,0.20453333854675293,2.7413108348846436
none,1,undersample,0,100,adam,0.1,80,0.21119999885559082,2.752952814102173,0.20453333854675293,2.7392332553863525
none,1,undersample,0,10,adam,0.1,80,0.21119999885559082,2.752953052520752,0.20453333854675293,2.7392542362213135
none,1,none,0,100,adam,0.1,80,0.21119999885559082,2.75295352935791,0.20453333854675293,2.7392148971557617
none,1,none,0,10,adam,0.001,100,0.21119999885559082,2.7529942989349365,0.20453333854675293,2.7417221069335938
none,1,undersample,0,100,adam,0.1,125,0.21119999885559082,2.7530171871185303,0.20453333854675293,2.7381114959716797
none,1,undersample,0,100,adam,0.001,125,0.21119999885559082,2.753053665161133,0.20453333854675293,2.740570545196533
none,1,none,0,50,adam,0.1,125,0.21119999885559082,2.753068447113037,0.20453333854675293,2.7382726669311523
none,1,none,0,100,adam,0.1,125,0.21119999885559082,2.753085136413574,0.20453333854675293,2.738356828689575
none,1,oversample,0,10,adam,0.1,80,0.21119999885559082,2.7530956268310547,0.20453333854675293,2.739255905151367
none,1,none,0,10,adam,0.1,125,0.21119999885559082,2.7531096935272217,0.20453333854675293,2.7383275032043457
none,1,undersample,0,10,adam,0.1,125,0.21119999885559082,2.7531239986419678,0.20453333854675293,2.738295555114746
none,1,undersample,0,50,adam,0.1,125,0.21119999885559082,2.753143310546875,0.20453333854675293,2.7382094860076904
none,1,oversample,0,50,adam,0.1,125,0.21119999885559082,2.753145694732666,0.20453333854675293,2.7383813858032227
none,1,undersample,0,50,adam,0.001,100,0.21119999885559082,2.753176212310791,0.20453333854675293,2.741393566131592
none,1,none,0,50,adam,0.001,100,0.21119999885559082,2.7531967163085938,0.20453333854675293,2.7414207458496094
none,1,oversample,0,50,adam,0.1,80,0.21119999885559082,2.753206968307495,0.20453333854675293,2.7392287254333496
none,1,oversample,0,10,adam,0.1,125,0.21119999885559082,2.7532193660736084,0.20453333854675293,2.73831844329834
none,1,oversample,0,100,adam,0.1,125,0.21119999885559082,2.7532236576080322,0.20453333854675293,2.738342523574829
none,1,none,0,50,adam,0.1,100,0.21119999885559082,2.7532284259796143,0.20453333854675293,2.738724708557129
none,1,undersample,0,10,adam,0.001,100,0.21119999885559082,2.7532644271850586,0.20453333854675293,2.740960121154785
none,1,none,0,100,adam,0.001,125,0.21119999885559082,2.753269910812378,0.20453333854675293,2.7404696941375732
none,1,none,0,10,adam,0.1,80,0.21119999885559082,2.753296136856079,0.20453333854675293,2.7392919063568115
none,1,none,0,50,adam,0.1,80,0.21119999885559082,2.7532975673675537,0.20453333854675293,2.7393033504486084
none,1,undersample,0,50,adam,0.1,80,0.21119999885559082,2.7533113956451416,0.20453333854675293,2.7392091751098633
none,1,oversample,0,10,adam,0.001,125,0.21119999885559082,2.75335431098938,0.20453333854675293,2.7404658794403076
none,1,none,0,100,adam,0.1,100,0.21119999885559082,2.7533726692199707,0.20453333854675293,2.738729953765869
none,1,oversample,0,100,adam,0.1,100,0.21119999885559082,2.7533888816833496,0.20453333854675293,2.7388060092926025
none,1,none,0,10,adam,0.1,100,0.21119999885559082,2.7534141540527344,0.20453333854675293,2.738805055618286
none,1,undersample,0,50,adam,0.1,100,0.21119999885559082,2.7534477710723877,0.20453333854675293,2.73881459236145
none,1,none,0,10,adam,0.001,125,0.21119999885559082,2.753474712371826,0.20453333854675293,2.7404491901397705
