dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,none,1,100,adam,0.001,200,0.27719998359680176,2.464268207550049,0.28851112723350525,2.4010841846466064
none,1,none,1,50,adam,0.01,100,0.2800000011920929,2.465599775314331,0.2978889048099518,2.35178804397583
none,1,undersample,1,100,adam,0.01,80,0.27879998087882996,2.4658243656158447,0.300777792930603,2.342630386352539
none,1,none,1,100,adam,0.01,100,0.2703999876976013,2.4677226543426514,0.30862221121788025,2.3232197761535645
none,1,undersample,1,50,adam,0.01,125,0.2802000045776367,2.4678921699523926,0.30231112241744995,2.3353593349456787
none,1,undersample,1,50,adam,0.01,150,0.27559998631477356,2.4702234268188477,0.30255556106567383,2.3298449516296387
none,1,undersample,1,100,adam,0.001,200,0.27459999918937683,2.4710006713867188,0.2863111197948456,2.4065921306610107
none,1,oversample,1,100,adam,0.01,80,0.27699998021125793,2.472153663635254,0.2991555631160736,2.3482043743133545
none,1,none,1,50,adam,0.01,125,0.2766000032424927,2.4728386402130127,0.30160000920295715,2.3414151668548584
none,1,none,1,100,adam,0.01,80,0.2786000072956085,2.473139524459839,0.29804444313049316,2.3576114177703857
none,1,oversample,1,100,adam,0.01,100,0.2784000039100647,2.4741249084472656,0.3081333339214325,2.319005012512207
none,1,oversample,1,50,adam,0.01,100,0.27559998631477356,2.474137783050537,0.29144445061683655,2.3767855167388916
none,1,oversample,1,100,adam,0.001,200,0.27300000190734863,2.4743869304656982,0.2852666676044464,2.4096620082855225
none,1,undersample,1,50,adam,0.01,100,0.27959999442100525,2.475055456161499,0.2909555733203888,2.3803794384002686
none,1,undersample,1,100,adam,0.01,100,0.2786000072956085,2.4768199920654297,0.31086668372154236,2.3046226501464844
none,1,oversample,1,100,adam,0.01,125,0.2757999897003174,2.4777677059173584,0.3166888952255249,2.2773211002349854
none,1,undersample,1,50,adam,0.01,175,0.2791999876499176,2.4779911041259766,0.3059999942779541,2.3157172203063965
none,1,oversample,1,50,adam,0.01,125,0.27379998564720154,2.4785916805267334,0.2999333441257477,2.3443763256073
none,1,oversample,1,50,adam,0.01,150,0.27959999442100525,2.479497194290161,0.3045555651187897,2.32706880569458
none,1,undersample,2,100,adam,0.001,200,0.27459999918937683,2.480428457260132,0.2899777889251709,2.4000866413116455
none,1,oversample,0,10,adam,0.01,200,0.2759999930858612,2.481390953063965,0.28486666083335876,2.3850607872009277
none,1,oversample,1,50,adam,0.01,175,0.280599981546402,2.4814705848693848,0.30782222747802734,2.3063411712646484
none,1,oversample,0,50,adam,0.01,200,0.27539998292922974,2.481682300567627,0.28457778692245483,2.383997678756714
none,1,oversample,0,100,adam,0.01,200,0.274399995803833,2.48175311088562,0.2850666642189026,2.3841214179992676
none,1,undersample,0,50,adam,0.01,200,0.2741999924182892,2.481825828552246,0.2850666642189026,2.3848094940185547
none,1,none,0,10,adam,0.01,200,0.2751999795436859,2.4818973541259766,0.28504446148872375,2.3844799995422363
none,1,none,0,50,adam,0.01,200,0.27399998903274536,2.4819283485412598,0.28466665744781494,2.384672164916992
none,1,undersample,0,100,adam,0.01,200,0.2741999924182892,2.4822635650634766,0.2846444547176361,2.385432481765747
none,1,undersample,0,10,adam,0.01,200,0.27399998903274536,2.4822821617126465,0.2849777936935425,2.3850197792053223
none,1,none,0,100,adam,0.01,200,0.2741999924182892,2.482391357421875,0.2841777801513672,2.385591745376587
none,1,none,1,50,adam,0.01,175,0.2717999815940857,2.483039140701294,0.30906668305397034,2.303541898727417
none,1,oversample,2,50,adam,0.01,150,0.27300000190734863,2.4831745624542236,0.30113333463668823,2.3535003662109375
none,1,oversample,0,10,adam,0.01,175,0.27480000257492065,2.483818292617798,0.2832888960838318,2.3936824798583984
none,1,oversample,0,50,adam,0.01,175,0.27539998292922974,2.48382568359375,0.2827777862548828,2.3937337398529053
none,1,undersample,0,10,adam,0.01,175,0.2757999897003174,2.4838521480560303,0.28333333134651184,2.3930246829986572
none,1,undersample,0,100,adam,0.01,175,0.27559998631477356,2.48413348197937,0.28308889269828796,2.39383602142334
none,1,none,0,100,adam,0.01,175,0.27619999647140503,2.4843149185180664,0.28317779302597046,2.393944025039673
none,1,none,0,10,adam,0.01,175,0.27480000257492065,2.484356641769409,0.2826888859272003,2.3939554691314697
none,1,oversample,0,100,adam,0.01,175,0.27539998292922974,2.484436511993408,0.28371110558509827,2.3936078548431396
none,1,none,0,50,adam,0.01,175,0.2750000059604645,2.4846582412719727,0.28317779302597046,2.393864154815674
none,1,undersample,0,50,adam,0.01,175,0.2741999924182892,2.4846866130828857,0.2831999957561493,2.394463300704956
none,1,oversample,1,50,adam,0.01,80,0.2717999815940857,2.484689235687256,0.28095555305480957,2.4222164154052734
none,1,none,2,100,adam,0.001,200,0.274399995803833,2.4848034381866455,0.29011112451553345,2.399843692779541
none,1,none,2,100,adam,0.01,100,0.2777999937534332,2.486004590988159,0.3047333359718323,2.328913450241089
none,1,none,1,50,adam,0.01,150,0.27379998564720154,2.4863147735595703,0.3026222288608551,2.333848237991333
none,1,oversample,2,100,adam,0.001,200,0.27399998903274536,2.487046241760254,0.28806665539741516,2.404074192047119
none,1,none,1,50,adam,0.01,80,0.2750000059604645,2.4871580600738525,0.280266672372818,2.4282186031341553
none,1,oversample,0,50,adam,0.01,150,0.27160000801086426,2.4873971939086914,0.2809111177921295,2.4043776988983154
none,1,oversample,0,100,adam,0.01,150,0.27140000462532043,2.4876246452331543,0.2803777754306793,2.4049594402313232
none,1,none,0,100,adam,0.01,150,0.2719999849796295,2.487663745880127,0.2811333239078522,2.4046897888183594
none,1,undersample,0,100,adam,0.01,150,0.27219998836517334,2.4878089427948,0.2808000147342682,2.404461145401001
none,1,undersample,0,10,adam,0.01,150,0.27160000801086426,2.4879090785980225,0.28075554966926575,2.404742479324341
none,1,none,0,10,adam,0.01,150,0.27160000801086426,2.4880013465881348,0.28040000796318054,2.404855966567993
none,1,oversample,0,10,adam,0.01,150,0.27160000801086426,2.488281488418579,0.28057777881622314,2.4051382541656494
none,1,none,0,50,adam,0.01,150,0.2709999978542328,2.4883530139923096,0.2800000011920929,2.404594898223877
none,1,oversample,1,100,adam,0.001,175,0.26819998025894165,2.488405704498291,0.2782444357872009,2.434267282485962
none,1,undersample,0,50,adam,0.01,150,0.27219998836517334,2.4884352684020996,0.28006666898727417,2.4054882526397705
none,1,oversample,2,50,adam,0.01,175,0.2784000039100647,2.488502264022827,0.31335556507110596,2.302142858505249
none,1,none,0,10,adam,0.1,80,0.274399995803833,2.488924503326416,0.29440000653266907,2.3461191654205322
none,1,none,1,100,adam,0.001,175,0.26980000734329224,2.489335775375366,0.27906668186187744,2.437011241912842
none,1,oversample,0,100,adam,0.1,80,0.27399998903274536,2.4894278049468994,0.29466667771339417,2.3458573818206787
none,1,undersample,2,50,adam,0.01,175,0.2741999924182892,2.4901750087738037,0.3102889060974121,2.30975079536438
none,1,oversample,0,50,adam,0.1,80,0.274399995803833,2.4904820919036865,0.2943333387374878,2.3455724716186523
